ID,"Item title","Item subtitle","Final URL","Image URL","Item description","Item category",Price,"Sale price","Formatted price","Formatted sale price"
31,"Curs Electrician in Constructii","Bucuresti · 4 luni",https://www.bravoryacademy.ro/cursuri/instalatii-sisteme-tehnice/curs-electrician-in-constructii/,https://www.bravoryacademy.ro/plugins/courses/images/courses/31/0.jpg,"Schimba-ti cariera printr-un curs de electrician acreditat, bazat pe practica aplicata si pregatire reala. Inveti de la zero cum functioneaza instalatiile electrice, lucrezi pe aplicatii practice si obtii o calificare recunoscuta oficial in Romania si UE, intr-un domeniu unde cererea de specialisti este tot mai mare.","Instalatii & Sisteme Tehnice","3000.00 RON","2100.00 RON","3.000 lei","2.100 lei"
20,"Curs Antreprenoriat (Competente Antreprenoriale)","Online Live (pe Zoom) · 1 luna",https://www.bravoryacademy.ro/cursuri/business-management/competente-antreprenoriale/,https://www.bravoryacademy.ro/plugins/courses/images/courses/20/0.jpg,"Transforma-ti ideea intr-o afacere de succes! Cursul nostru de Antreprenoriat te ajuta sa construiesti strategii solide, sa iei decizii eficiente si sa obtii rezultate financiare notabile. Pune bazele unui business sustenabil si creeaza-ti o cale sigura catre succesul dorit.","Business & Management","1200.00 RON","900.00 RON","1.200 lei","900 lei"
1,"Curs Coafor (Hairstylist)","Bucuresti · 2 luni",https://www.bravoryacademy.ro/cursuri/beauty/curs-coafor-hairstylist/,https://www.bravoryacademy.ro/plugins/courses/images/courses/1/0.jpg,"Iti doresti sa stapanesti arta Hairstyling-ului si sa devii specialistul pe care clientele il recomanda? Cursul nostru de Coafor este orientat in proportie de 90% catre practica reala, unde inveti de la zero tuns, vopsit si coafat modern. Obtii diploma acreditata si ai posibilitatea de angajare in saloane partenere, pentru un start sigur intr-un domeniu mereu cautat.",Beauty,"4000.00 RON","3000.00 RON","4.000 lei","3.000 lei"
34,"Curs Instalator - Sanitare, Termice, Gaze","Bucuresti · 4 luni",https://www.bravoryacademy.ro/cursuri/instalatii-sisteme-tehnice/curs-instalator-instalatii-tehnico-sanitare-si-de-gaze/,https://www.bravoryacademy.ro/plugins/courses/images/courses/34/0.jpg,"Invata pas cu pas instalatii sanitare, termice si de gaze exact ca pe santier. Curs acreditat, cu multa practica si traineri cu experienta. Pornesti de la zero si dobandesti competentele necesare pentru a lucra legal ca instalator in Romania si in UE.","Instalatii & Sisteme Tehnice","3000.00 RON","2100.00 RON","3.000 lei","2.100 lei"
22,"Curs Contabilitate Primara si Financiara","Online Live (pe Zoom) · 6 saptamani",https://www.bravoryacademy.ro/cursuri/business-management/curs-contabilitate/,https://www.bravoryacademy.ro/plugins/courses/images/courses/22/0.jpg,"Invata contabilitate pas cu pas, printr-un curs online live, practic si acreditat. Este potrivit atat pentru cei care vor o meserie noua, cat si pentru antreprenorii care vor sa-si inteleaga contabilitatea. Vei lucra cu exemple reale, documente contabile si programe utilizate in practica, precum SAGA. Totul este actualizat conform noului Cod Fiscal 2026.","Business & Management","1600.00 RON","1120.00 RON","1.600 lei","1.120 lei"
3,"Curs Frizerie / Barbering","Bucuresti · 2 luni",https://www.bravoryacademy.ro/cursuri/beauty/curs-frizerie-barbering/,https://www.bravoryacademy.ro/plugins/courses/images/courses/3/0.jpg,"Cauti o meserie stabila, cu cerere reala pe piata? Cursul nostru de frizerie este 90% orientat catre practica si te invata de la zero cele mai noi tehnici de tuns si styling. Obtii o diploma acreditata international, beneficiezi de posibilitatea de angajare in saloanele noastre partenere si pornesti cu incredere pe un drum profesional cautat si bine platit.",Beauty,"3500.00 RON","2695.00 RON","3.500 lei","2.695 lei"
32,"Curs Instalator Panouri Fotovoltaice","Bucuresti · 6 saptamani",https://www.bravoryacademy.ro/cursuri/instalatii-sisteme-tehnice/curs-instalator-panouri-fotovoltaice/,https://www.bravoryacademy.ro/plugins/courses/images/courses/32/0.jpg,"Intra rapid intr-un domeniu aflat in plina explozie si invata practic cum se monteaza sisteme fotovoltaice reale. Curs acreditat pentru instalatori panouri solare, conceput de la zero, cu accent pe practica, siguranta si pregatire pentru angajare sau lucru pe cont propriu.","Instalatii & Sisteme Tehnice","1800.00 RON",,"1.800 lei",
26,"Curs Expert Achizitii Publice","Online Live (pe Zoom) · 1 luna",https://www.bravoryacademy.ro/cursuri/business-management/curs-expert-achizitii-publice/,https://www.bravoryacademy.ro/plugins/courses/images/courses/26/0.jpg,"Invata pas cu pas cum functioneaza achizitiile publice si cum poti castiga contracte prin SEAP. Curs practic, de la zero, cu studii reale si diploma acreditata. Ideal pentru angajare sau pentru firme care vor sa lucreze cu statul.","Business & Management","960.00 RON",,"960 lei",
2,"Curs Make-up","Bucuresti · 2 luni",https://www.bravoryacademy.ro/cursuri/beauty/curs-make-up/,https://www.bravoryacademy.ro/plugins/courses/images/courses/2/0.jpg,"Transforma-ti pasiunea pentru machiaj intr-o cariera de succes in doar 2 luni! Inveti machiajul profesional prin 90% practica, cu produse incluse si traineri cu experienta reala. Primesti diploma acreditata si posibilitatea de angajare in saloane partenere dupa finalizarea cursului.",Beauty,"3000.00 RON","2280.00 RON","3.000 lei","2.280 lei"
29,"Curs Expert Accesare Fonduri Europene","Bucuresti · 1 luna",https://www.bravoryacademy.ro/cursuri/business-management/curs-expert-accesare-fonduri-europene/,https://www.bravoryacademy.ro/plugins/courses/images/courses/29/0.jpg,"Invata sa transformi ideile in proiecte finantabile. Acest curs iti ofera ghidul complet, de la identificarea liniilor de finantare pana la implementarea cu succes. Dobandeste competentele necesare pentru a accesa fonduri europene si guvernamentale in 2026!","Business & Management","960.00 RON",,"960 lei",
7,"Curs Manichiura / Pedichiura","Bucuresti · 1 luna",https://www.bravoryacademy.ro/cursuri/beauty/curs-manichiura-pedichiura/,https://www.bravoryacademy.ro/plugins/courses/images/courses/7/0.jpg,"Esti gata sa iti transformi pasiunea intr-o cariera de succes? Cursul nostru de Manichiura / Pedichiura este pasul perfect pentru a incepe aceasta calatorie. Acesta este conceput pentru a te ajuta sa devii un expert in manichiura. Inscrie-te si descopera cat de usor poti sa-ti urmezi pasiunea!",Beauty,"2000.00 RON","1480.00 RON","2.000 lei","1.480 lei"
21,"Curs Inspector / Referent Resurse Umane","Online Live (pe Zoom) · 1 luna",https://www.bravoryacademy.ro/cursuri/business-management/curs-referent-resurse-umane/,https://www.bravoryacademy.ro/plugins/courses/images/courses/21/0.jpg,"Transforma-ti cariera cu un curs complet de Referent Resurse Umane! Invata sa recrutezi, sa gestionezi contractele si documentele legale, sa operezi ReGES Online (Revisal) si sa aplici legislatia muncii la zi. Cursul nostru iti ofera toate cunostintele necesare pentru a excela in domeniul HR. Inscrie-te azi si devino specialistul de care orice companie are nevoie!","Business & Management","1600.00 RON","1120.00 RON","1.600 lei","1.120 lei"
15,"Curs Unghii cu Gel","Bucuresti · 1 luna",https://www.bravoryacademy.ro/cursuri/beauty/curs-unghii-cu-gel/,https://www.bravoryacademy.ro/plugins/courses/images/courses/15/0.jpg,"Transforma-ti talentul in arta si cariera cu cursul nostru de unghii cu gel! Fie ca esti incepator sau avansat, vei invata cele mai noi tehnici si secrete din domeniu. Descopera tehnicile care iti vor transforma talentul intr-o cariera de invidiat in lumea manichiurii! Pasul tau catre succes incepe aici, in lumea culorilor si formelor spectaculoase!",Beauty,"2000.00 RON","1480.00 RON","2.000 lei","1.480 lei"
23,"Curs Unghii cu Gel Nivel 2","Bucuresti · 1 luna",https://www.bravoryacademy.ro/cursuri/beauty/curs-unghii-cu-gel-nivel-2/,https://www.bravoryacademy.ro/plugins/courses/images/courses/23/0.jpg,"Ai invatat bazele, acum e timpul sa perfectionezi arta! Cursul de Unghii cu Gel Nivel 2 te invata tehnici avansate precum forme, underfill, curatarea cuticulei, constructie si Baby Boomer. Creeaza unghii perfecte si diferentiaza-te ca profesionist.",Beauty,"2000.00 RON","1500.00 RON","2.000 lei","1.500 lei"
12,"Curs Formator (Trainer)","Online Live (pe Zoom) · 1 luna",https://www.bravoryacademy.ro/cursuri/business-management/curs-formator-trainer/,https://www.bravoryacademy.ro/plugins/courses/images/courses/12/0.jpg,"Devino Formator Acreditat 100% Online. Invata sa livrezi training-uri de impact si obtine o diploma acreditata, recunoscuta national si in UE. Dobandesti tehnici moderne de predare, abilitati de comunicare si increderea de a conduce orice audienta. Curs live pe Zoom, fara deplasari, cu pregatire practica pas cu pas. Inscrie-te la grupa urmatoare!","Business & Management","1500.00 RON","900.00 RON","1.500 lei","900 lei"
