id,title,description,availability,condition,price,sale_price,link,image_link,brand,product_type,custom_label_0,custom_label_1,custom_number_0
31,"Curs Electrician in Constructii","Schimba-ti cariera printr-un curs de electrician acreditat, bazat pe practica aplicata si pregatire reala. Inveti de la zero cum functioneaza instalatiile electrice, lucrezi pe aplicatii practice si obtii o calificare recunoscuta oficial in Romania si UE, intr-un domeniu unde cererea de specialisti este tot mai mare.","in stock",new,"3000.00 RON","2100.00 RON",https://www.bravoryacademy.ro/cursuri/instalatii-sisteme-tehnice/curs-electrician-in-constructii/,https://www.bravoryacademy.ro/plugins/courses/images/courses/31/0.jpg,"Bravory Academy","Instalatii & Sisteme Tehnice",Bucuresti,"Curs acreditat",30
20,"Curs Antreprenoriat (Competente Antreprenoriale)","Transforma-ti ideea intr-o afacere de succes! Cursul nostru de Antreprenoriat te ajuta sa construiesti strategii solide, sa iei decizii eficiente si sa obtii rezultate financiare notabile. Pune bazele unui business sustenabil si creeaza-ti o cale sigura catre succesul dorit.","in stock",new,"1200.00 RON","900.00 RON",https://www.bravoryacademy.ro/cursuri/business-management/competente-antreprenoriale/,https://www.bravoryacademy.ro/plugins/courses/images/courses/20/0.jpg,"Bravory Academy","Business & Management","Online Live (pe Zoom)","Curs acreditat",25
1,"Curs Coafor (Hairstylist)","Iti doresti sa stapanesti arta Hairstyling-ului si sa devii specialistul pe care clientele il recomanda? Cursul nostru de Coafor este orientat in proportie de 90% catre practica reala, unde inveti de la zero tuns, vopsit si coafat modern. Obtii diploma acreditata si ai posibilitatea de angajare in saloane partenere, pentru un start sigur intr-un domeniu mereu cautat.","in stock",new,"4000.00 RON","3000.00 RON",https://www.bravoryacademy.ro/cursuri/beauty/curs-coafor-hairstylist/,https://www.bravoryacademy.ro/plugins/courses/images/courses/1/0.jpg,"Bravory Academy",Beauty,Bucuresti,"Curs acreditat",25
34,"Curs Instalator - Sanitare, Termice, Gaze","Invata pas cu pas instalatii sanitare, termice si de gaze exact ca pe santier. Curs acreditat, cu multa practica si traineri cu experienta. Pornesti de la zero si dobandesti competentele necesare pentru a lucra legal ca instalator in Romania si in UE.","in stock",new,"3000.00 RON","2100.00 RON",https://www.bravoryacademy.ro/cursuri/instalatii-sisteme-tehnice/curs-instalator-instalatii-tehnico-sanitare-si-de-gaze/,https://www.bravoryacademy.ro/plugins/courses/images/courses/34/0.jpg,"Bravory Academy","Instalatii & Sisteme Tehnice",Bucuresti,"Curs acreditat",30
22,"Curs Contabilitate Primara si Financiara","Invata contabilitate pas cu pas, printr-un curs online live, practic si acreditat. Este potrivit atat pentru cei care vor o meserie noua, cat si pentru antreprenorii care vor sa-si inteleaga contabilitatea. Vei lucra cu exemple reale, documente contabile si programe utilizate in practica, precum SAGA. Totul este actualizat conform noului Cod Fiscal 2026.","in stock",new,"1600.00 RON","1120.00 RON",https://www.bravoryacademy.ro/cursuri/business-management/curs-contabilitate/,https://www.bravoryacademy.ro/plugins/courses/images/courses/22/0.jpg,"Bravory Academy","Business & Management","Online Live (pe Zoom)","Curs acreditat",30
3,"Curs Frizerie / Barbering","Cauti o meserie stabila, cu cerere reala pe piata? Cursul nostru de frizerie este 90% orientat catre practica si te invata de la zero cele mai noi tehnici de tuns si styling. Obtii o diploma acreditata international, beneficiezi de posibilitatea de angajare in saloanele noastre partenere si pornesti cu incredere pe un drum profesional cautat si bine platit.","in stock",new,"3500.00 RON","2695.00 RON",https://www.bravoryacademy.ro/cursuri/beauty/curs-frizerie-barbering/,https://www.bravoryacademy.ro/plugins/courses/images/courses/3/0.jpg,"Bravory Academy",Beauty,Bucuresti,"Curs acreditat",23
32,"Curs Instalator Panouri Fotovoltaice","Intra rapid intr-un domeniu aflat in plina explozie si invata practic cum se monteaza sisteme fotovoltaice reale. Curs acreditat pentru instalatori panouri solare, conceput de la zero, cu accent pe practica, siguranta si pregatire pentru angajare sau lucru pe cont propriu.","in stock",new,"1800.00 RON",,https://www.bravoryacademy.ro/cursuri/instalatii-sisteme-tehnice/curs-instalator-panouri-fotovoltaice/,https://www.bravoryacademy.ro/plugins/courses/images/courses/32/0.jpg,"Bravory Academy","Instalatii & Sisteme Tehnice",Bucuresti,"Curs acreditat",0
26,"Curs Expert Achizitii Publice","Invata pas cu pas cum functioneaza achizitiile publice si cum poti castiga contracte prin SEAP. Curs practic, de la zero, cu studii reale si diploma acreditata. Ideal pentru angajare sau pentru firme care vor sa lucreze cu statul.","in stock",new,"960.00 RON",,https://www.bravoryacademy.ro/cursuri/business-management/curs-expert-achizitii-publice/,https://www.bravoryacademy.ro/plugins/courses/images/courses/26/0.jpg,"Bravory Academy","Business & Management","Online Live (pe Zoom)","Curs acreditat",0
2,"Curs Make-up","Transforma-ti pasiunea pentru machiaj intr-o cariera de succes in doar 2 luni! Inveti machiajul profesional prin 90% practica, cu produse incluse si traineri cu experienta reala. Primesti diploma acreditata si posibilitatea de angajare in saloane partenere dupa finalizarea cursului.","in stock",new,"3000.00 RON","2280.00 RON",https://www.bravoryacademy.ro/cursuri/beauty/curs-make-up/,https://www.bravoryacademy.ro/plugins/courses/images/courses/2/0.jpg,"Bravory Academy",Beauty,Bucuresti,"Curs acreditat",24
29,"Curs Expert Accesare Fonduri Europene","Invata sa transformi ideile in proiecte finantabile. Acest curs iti ofera ghidul complet, de la identificarea liniilor de finantare pana la implementarea cu succes. Dobandeste competentele necesare pentru a accesa fonduri europene si guvernamentale in 2026!","in stock",new,"960.00 RON",,https://www.bravoryacademy.ro/cursuri/business-management/curs-expert-accesare-fonduri-europene/,https://www.bravoryacademy.ro/plugins/courses/images/courses/29/0.jpg,"Bravory Academy","Business & Management",Bucuresti,"Curs acreditat",0
