"Program ID","Program name","Area of study","Program description","School name",Address,"Thumbnail image URL","Image URL","Final URL"
31,"Curs Electrician in Constructii","Instalatii & Sisteme Tehnice","Schimba-ti cariera printr-un curs de electrician acreditat, bazat pe practica aplicata si pregatire reala. Inveti de la zero cum functioneaza instalatiile electrice, lucrezi pe aplicatii practice si obtii o calificare recunoscuta oficial in Romania si UE, intr-un domeniu unde cererea de specialisti este tot mai mare.","Bravory Academy","Strada Magura Vulturului 77, Sector 2, Bucuresti",https://www.bravoryacademy.ro/plugins/courses/images/courses/31/0.jpg,https://www.bravoryacademy.ro/plugins/courses/images/courses/31/0.jpg,https://www.bravoryacademy.ro/cursuri/instalatii-sisteme-tehnice/curs-electrician-in-constructii/
20,"Curs Antreprenoriat (Competente Antreprenoriale)","Business & Management","Transforma-ti ideea intr-o afacere de succes! Cursul nostru de Antreprenoriat te ajuta sa construiesti strategii solide, sa iei decizii eficiente si sa obtii rezultate financiare notabile. Pune bazele unui business sustenabil si creeaza-ti o cale sigura catre succesul dorit.","Bravory Academy",,https://www.bravoryacademy.ro/plugins/courses/images/courses/20/0.jpg,https://www.bravoryacademy.ro/plugins/courses/images/courses/20/0.jpg,https://www.bravoryacademy.ro/cursuri/business-management/competente-antreprenoriale/
1,"Curs Coafor (Hairstylist)",Beauty,"Iti doresti sa stapanesti arta Hairstyling-ului si sa devii specialistul pe care clientele il recomanda? Cursul nostru de Coafor este orientat in proportie de 90% catre practica reala, unde inveti de la zero tuns, vopsit si coafat modern. Obtii diploma acreditata si ai posibilitatea de angajare in saloane partenere, pentru un start sigur intr-un domeniu mereu cautat.","Bravory Academy","Strada Magura Vulturului 77, Sector 2, Bucuresti",https://www.bravoryacademy.ro/plugins/courses/images/courses/1/0.jpg,https://www.bravoryacademy.ro/plugins/courses/images/courses/1/0.jpg,https://www.bravoryacademy.ro/cursuri/beauty/curs-coafor-hairstylist/
34,"Curs Instalator - Sanitare, Termice, Gaze","Instalatii & Sisteme Tehnice","Invata pas cu pas instalatii sanitare, termice si de gaze exact ca pe santier. Curs acreditat, cu multa practica si traineri cu experienta. Pornesti de la zero si dobandesti competentele necesare pentru a lucra legal ca instalator in Romania si in UE.","Bravory Academy","Strada Magura Vulturului 77, Sector 2, Bucuresti",https://www.bravoryacademy.ro/plugins/courses/images/courses/34/0.jpg,https://www.bravoryacademy.ro/plugins/courses/images/courses/34/0.jpg,https://www.bravoryacademy.ro/cursuri/instalatii-sisteme-tehnice/curs-instalator-instalatii-tehnico-sanitare-si-de-gaze/
22,"Curs Contabilitate Primara si Financiara","Business & Management","Invata contabilitate pas cu pas, printr-un curs online live, practic si acreditat. Este potrivit atat pentru cei care vor o meserie noua, cat si pentru antreprenorii care vor sa-si inteleaga contabilitatea. Vei lucra cu exemple reale, documente contabile si programe utilizate in practica, precum SAGA. Totul este actualizat conform noului Cod Fiscal 2026.","Bravory Academy",,https://www.bravoryacademy.ro/plugins/courses/images/courses/22/0.jpg,https://www.bravoryacademy.ro/plugins/courses/images/courses/22/0.jpg,https://www.bravoryacademy.ro/cursuri/business-management/curs-contabilitate/
3,"Curs Frizerie / Barbering",Beauty,"Cauti o meserie stabila, cu cerere reala pe piata? Cursul nostru de frizerie este 90% orientat catre practica si te invata de la zero cele mai noi tehnici de tuns si styling. Obtii o diploma acreditata international, beneficiezi de posibilitatea de angajare in saloanele noastre partenere si pornesti cu incredere pe un drum profesional cautat si bine platit.","Bravory Academy","Strada Magura Vulturului 77, Sector 2, Bucuresti",https://www.bravoryacademy.ro/plugins/courses/images/courses/3/0.jpg,https://www.bravoryacademy.ro/plugins/courses/images/courses/3/0.jpg,https://www.bravoryacademy.ro/cursuri/beauty/curs-frizerie-barbering/
32,"Curs Instalator Panouri Fotovoltaice","Instalatii & Sisteme Tehnice","Intra rapid intr-un domeniu aflat in plina explozie si invata practic cum se monteaza sisteme fotovoltaice reale. Curs acreditat pentru instalatori panouri solare, conceput de la zero, cu accent pe practica, siguranta si pregatire pentru angajare sau lucru pe cont propriu.","Bravory Academy","Strada Magura Vulturului 77, Sector 2, Bucuresti",https://www.bravoryacademy.ro/plugins/courses/images/courses/32/0.jpg,https://www.bravoryacademy.ro/plugins/courses/images/courses/32/0.jpg,https://www.bravoryacademy.ro/cursuri/instalatii-sisteme-tehnice/curs-instalator-panouri-fotovoltaice/
26,"Curs Expert Achizitii Publice","Business & Management","Invata pas cu pas cum functioneaza achizitiile publice si cum poti castiga contracte prin SEAP. Curs practic, de la zero, cu studii reale si diploma acreditata. Ideal pentru angajare sau pentru firme care vor sa lucreze cu statul.","Bravory Academy",,https://www.bravoryacademy.ro/plugins/courses/images/courses/26/0.jpg,https://www.bravoryacademy.ro/plugins/courses/images/courses/26/0.jpg,https://www.bravoryacademy.ro/cursuri/business-management/curs-expert-achizitii-publice/
2,"Curs Make-up",Beauty,"Transforma-ti pasiunea pentru machiaj intr-o cariera de succes in doar 2 luni! Inveti machiajul profesional prin 90% practica, cu produse incluse si traineri cu experienta reala. Primesti diploma acreditata si posibilitatea de angajare in saloane partenere dupa finalizarea cursului.","Bravory Academy","Strada Magura Vulturului 77, Sector 2, Bucuresti",https://www.bravoryacademy.ro/plugins/courses/images/courses/2/0.jpg,https://www.bravoryacademy.ro/plugins/courses/images/courses/2/0.jpg,https://www.bravoryacademy.ro/cursuri/beauty/curs-make-up/
29,"Curs Expert Accesare Fonduri Europene","Business & Management","Invata sa transformi ideile in proiecte finantabile. Acest curs iti ofera ghidul complet, de la identificarea liniilor de finantare pana la implementarea cu succes. Dobandeste competentele necesare pentru a accesa fonduri europene si guvernamentale in 2026!","Bravory Academy","Strada Magura Vulturului 77, Sector 2, Bucuresti",https://www.bravoryacademy.ro/plugins/courses/images/courses/29/0.jpg,https://www.bravoryacademy.ro/plugins/courses/images/courses/29/0.jpg,https://www.bravoryacademy.ro/cursuri/business-management/curs-expert-accesare-fonduri-europene/
